id,start,end,text
572,2365.0,2373.0,It's located just 50 meters away from our main building and you can use it for free if you present your ID badge to the attendant.
573,2373.0,2376.0,Thank you for your cooperation.
574,2376.0,2381.0,Number 86. What is the main topic of the talk?
575,2382.0,2388.0,Number 87. What is JT Innovations responsible for?
576,2388.0,2393.0,Number 88. What are the listeners recommended to do?
577,2412.0,2416.0,Go on to the next page.
578,2422.0,2427.0,Questions 89-91 refer to the following voicemail message.
579,2427.0,2432.0,"Hello Mr. Duke, this is Sean Lee from the Manchester Book Club."
580,2432.0,2438.0,I'm calling to ask whether you can participate in the Manchester Reading Festival next month.
581,2438.0,2446.0,"We'd like you to read some passages from your latest bestseller, The Revenge, and share opinions with our audience on the main stage."
582,2446.0,2452.0,I think it would be a great opportunity for the public to explore the world of your writing.
583,2452.0,2461.0,"The event will be held in the Global Cultural Centre from May 3rd to May 9th, and I hope you'll be able to join us on the first day of the festival."
584,2461.0,2472.0,"To find out more about the event, please visit www.manchesterreading.com or call me at 450 9900 anytime you want."
585,2472.0,2476.0,I'm looking forward to hearing from you soon.
586,2476.0,2481.0,Number 89. What is the purpose of the call?
587,2481.0,2493.0,Number 90. How long will the event last?
588,2499.0,2505.0,Number 91. What does the speaker want Mr. Duke to do?
589,2511.0,2515.0,Questions 92 through 94 refer to the following announcement.
590,2515.0,2521.0,"Hello everyone, my name is John Anderson and I'm the store manager here."
591,2521.0,2534.0,"First, I'd like to express my gratitude for your patronage. To celebrate our 30th anniversary, we are offering 50% off our products, including microwave ovens, air conditioners, and refrigerators for one week."
592,2534.0,2539.0,"This is our first 50% off sale, which means it will be the biggest sale ever."
593,2539.0,2545.0,This will be a great chance for you to buy our high-end home appliances at reasonable prices.
594,2545.0,2553.0,"In addition, if your purchase is over $500, you will be given a vacuum for free. Come and take advantage of this special offer."
595,2553.0,2557.0,Don't miss this once in a lifetime opportunity next week.
596,2557.0,2562.0,Number 92. Where is the announcement being made?
597,2564.0,2574.0,Number 93. How long has the business been operating?
598,2574.0,2587.0,Number 94. What will be offered for a purchase of $600?
599,2587.0,2593.0,Number 95. How long has the business been operating?
600,2593.0,2599.0,Questions 95 through 97 refer to the following recorded message.
601,2599.0,2608.0,"Hello, you've reached Underwood Community Library. We're currently closed. We're open from 9 to 8 every day except from Monday."
602,2608.0,2612.0,"For general questions, please call us back during our regular hours."
603,2612.0,2621.0,"If you wish to reserve a book, you can visit our online reservation service at www.underwoodbooks.com."
604,2621.0,2626.0,"Through the website, you can also refer to the listings of available books."
605,2626.0,2633.0,"Finally, please know that the children's reading room that can accommodate as many as 60 children will soon be open."
606,2633.0,2641.0,The official opening ceremony is scheduled to take place on April 10th and everyone is welcome to attend.
607,2641.0,2653.0,Number 95. What is stated about the library?
608,2653.0,2664.0,Number 96. What will happen on April 10th?
609,2665.0,2677.0,Number 97. What are listeners encouraged to do?
610,2677.0,2681.0,Questions 98 through 100 refer to the following talk.
611,2681.0,2689.0,Thank you for joining the Fifth Healthcare Job Fair. My name is Jim Todd and I'm the coordinator of this year's event.
612,2689.0,2694.0,"As you know, healthcare professionals are tremendously respected in our society."
613,2694.0,2702.0,Anyone who wants to be a healthcare practitioner will find today's lineup of presentations quite interesting and informative.
614,2702.0,2709.0,"First, the keynote speech delivered by Dr. Sean Jefferson is scheduled to start at 10 a.m."
615,2709.0,2716.0,"After that, a short coffee break will be given and you can also enjoy free snacks and beverages in the lobby."
616,2716.0,2725.0,"At 11.30, Professor Jerry Hudson from London University will give you some valuable tips on how to plan a career in your chosen field."
617,2725.0,2734.0,"If you want to know more about the schedule, please feel free to pick up a copy of the program at the information desk on the second floor."
618,2734.0,2739.0,Number 98. For whom is the talk intended?
619,2746.0,2757.0,Number 99. What will be given in the lobby?
620,2757.0,2769.0,Number 100. What does the speakers say about Jerry Hudson?
621,2769.0,2773.0,This is the end of the listening test.
